name,category,unit_type,unit_cost,sku,default_waste_pct,is_taxable,notes,default_vendor_name
Ready-Mix Concrete (3000 PSI),Concrete & Masonry,CY,160.00,CMU-RMIX3000,5,true,Standard 3000 PSI mix. Order 24hr in advance.,Southwest Concrete Supply
Ready-Mix Concrete (4000 PSI),Concrete & Masonry,CY,175.00,CMU-RMIX4000,5,true,High-strength 4000 PSI for footings and slabs.,Southwest Concrete Supply
Concrete Block (CMU 8x8x16),Concrete & Masonry,EA,2.85,CMU-8816,5,true,Standard 8-inch CMU block.,Southwest Concrete Supply
Concrete Block (CMU 4x8x16),Concrete & Masonry,EA,1.95,CMU-4816,5,true,Half-width CMU for partition and veneer work.,Southwest Concrete Supply
Standard Brick (Modular),Concrete & Masonry,EA,0.85,BRK-MOD,5,true,Standard modular face brick. ~500 per pallet.,Southwest Concrete Supply
Mortar Mix Type S (60 lb),Concrete & Masonry,BAG,8.50,MOR-S-60LB,10,true,Type S mortar for masonry and stucco base.,Southwest Concrete Supply
Mortar Mix Type N (60 lb),Concrete & Masonry,BAG,7.50,MOR-N-60LB,10,true,Type N mortar for above-grade interior masonry.,Southwest Concrete Supply
Rebar #4 (1/2") 20-ft,Concrete & Masonry,EA,12.00,RBR-4-20,5,true,#4 deformed rebar 20-ft stick.,Southwest Concrete Supply
Rebar #5 (5/8") 20-ft,Concrete & Masonry,EA,18.50,RBR-5-20,5,true,#5 deformed rebar 20-ft stick.,Southwest Concrete Supply
Wire Mesh 6x6 W1.4 (150 SF/roll),Concrete & Masonry,RL,85.00,WMH-614,5,true,Welded wire reinforcement for slabs.,Southwest Concrete Supply
Fiber Cement Board (1/2" 4x8),Concrete & Masonry,SH,24.00,FCB-412,10,true,Cement board for tile substrate and exterior use.,Southwest Concrete Supply
2x4x8 SPF Stud,Framing Lumber,EA,4.50,LUM-2X4X8,12,true,Standard 2x4x8 spruce-pine-fir stud.,Regional Lumber Co.
2x4x92-5/8" Precut Stud,Framing Lumber,EA,4.25,LUM-2X4PC,12,true,Precut stud for standard 8-ft wall framing.,Regional Lumber Co.
2x6x8 SPF,Framing Lumber,EA,7.50,LUM-2X6X8,12,true,2x6x8 for exterior walls and headers.,Regional Lumber Co.
2x6x12 SPF,Framing Lumber,EA,11.00,LUM-2X6X12,12,true,2x6x12 general framing lumber.,Regional Lumber Co.
2x6x16 SPF,Framing Lumber,EA,14.50,LUM-2X6X16,12,true,2x6x16 for long spans and rafters.,Regional Lumber Co.
2x8x16 SPF,Framing Lumber,EA,18.00,LUM-2X8X16,12,true,2x8x16 floor joist and beam stock.,Regional Lumber Co.
2x10x16 SPF,Framing Lumber,EA,26.00,LUM-2X10X16,12,true,2x10x16 for floor joists and ridge beams.,Regional Lumber Co.
2x12x16 SPF,Framing Lumber,EA,34.00,LUM-2X12X16,12,true,2x12x16 for stair stringers and heavy beams.,Regional Lumber Co.
